rq,track,condition,protocol,dataset,scenario,seed,method,metric,value
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,closed_backbone,delta_f1,0.0
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,closed_backbone,known_accuracy,0.9813748531139835
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,closed_backbone,known_macro_f1,0.8812440995204643
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,closed_backbone,known_weighted_f1,0.979739771128564
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,aupr_out,0.9180758826418389
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,delta_f1,-0.02363156642166775
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,far,0.012162162162162163
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,fpr95,0.5515276145710928
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,frr,0.54668
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,known_accuracy,0.9682726204465335
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,known_macro_f1,0.8576125330987966
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,known_weighted_f1,0.966783753142017
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,open_world_macro_f1,0.7570938242229049
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,oscr,0.8618949847238544
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,scorer_density_reference_size,4096.0
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,scorer_density_selection_margin,0.2
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,scorer_proxy_density_auroc,0.8778070569038391
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,scorer_proxy_evidential_auroc,0.9854981422424316
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,tpr_at_0_1_fpr,0.0
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,tpr_at_1_fpr,0.44096
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,tpr_at_5_fpr,0.57768
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,unknown_auroc,0.8804101633372503
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,unknown_f1,0.6203065134099617
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,unknown_precision,0.9820623916811092
rq1,ours,loao/cicids2017/Z1/seed_101,loao,cicids2017,Z1,101,hedl,unknown_recall,0.45332
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,aupr_out,0.5173391713211406
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,far,0.024175824175824177
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,fpr95,0.42417582417582417
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,frr,0.5333333333333333
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,known_accuracy,0.4021978021978022
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,known_macro_f1,0.32759858385284507
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,known_weighted_f1,0.32911907755026226
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,open_world_macro_f1,0.3411741572782321
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,oscr,0.36656898656898657
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,scorer_density_reference_size,500.0
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,scorer_density_selection_margin,0.1
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,scorer_proxy_density_auroc,0.7430978
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,scorer_proxy_evidential_auroc,0.4994384
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,tpr_at_0_1_fpr,0.0
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,tpr_at_1_fpr,0.08888888888888889
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,tpr_at_5_fpr,0.5333333333333333
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,unknown_auroc,0.9030036630036631
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,unknown_f1,0.5454545454545454
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,unknown_precision,0.65625
rq1,ours,loao/cicids2017/Z1/seed_13,loao,cicids2017,Z1,13,hedl,unknown_recall,0.4666666666666667
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,closed_backbone,delta_f1,0.0
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,closed_backbone,known_accuracy,0.8877790834312573
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,closed_backbone,known_macro_f1,0.8329695020722924
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,closed_backbone,known_weighted_f1,0.883483034538676
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,aupr_out,0.9763830875262551
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,delta_f1,0.033345454421447984
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,far,0.01227967097532315
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,fpr95,0.10111633372502937
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,frr,0.4306
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,known_accuracy,0.9736780258519389
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,known_macro_f1,0.8663149564937404
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,known_weighted_f1,0.9722349177570616
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,open_world_macro_f1,0.7887720258565508
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,oscr,0.9546607344300823
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,scorer_density_reference_size,4096.0
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,scorer_density_selection_margin,0.2
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,scorer_proxy_density_auroc,0.8767516851425171
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,scorer_proxy_evidential_auroc,0.9855260848999023
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,tpr_at_0_1_fpr,0.0
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,tpr_at_1_fpr,0.51876
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,tpr_at_5_fpr,0.86704
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,unknown_auroc,0.9760342878965922
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,unknown_f1,0.7217827806510496
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,unknown_precision,0.9855303240099695
rq1,ours,loao/cicids2017/Z1/seed_37,loao,cicids2017,Z1,37,hedl,unknown_recall,0.5694
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,closed_backbone,delta_f1,0.0
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,closed_backbone,known_accuracy,0.982256169212691
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,closed_backbone,known_macro_f1,0.8836020888330917
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,closed_backbone,known_weighted_f1,0.9807050069490504
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,aupr_out,0.9088056446628069
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,delta_f1,-0.02235933566328696
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,far,0.013160987074030552
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,fpr95,0.5039952996474736
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,frr,0.71288
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,known_accuracy,0.9708578143360752
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,known_macro_f1,0.8612427531698047
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,known_weighted_f1,0.9694767635643656
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,open_world_macro_f1,0.7321526220431412
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,oscr,0.8647442338425381
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,scorer_density_reference_size,4096.0
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,scorer_density_selection_margin,0.2
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,scorer_proxy_density_auroc,0.8768682479858398
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,scorer_proxy_evidential_auroc,0.9858753442764281
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,tpr_at_0_1_fpr,0.0
rq1,ours,loao/cicids2017/Z1/seed_73,loao,cicids2017,Z1,73,hedl,tpr_at_1_fpr,0.26208
