method,policy,prevalence,q_or_far,mean_alerts,std_alerts,mean_true_discoveries,std_true_discoveries,mean_false_discoveries,std_false_discoveries,mean_false_discovery_proportion,std_false_discovery_proportion,mean_power,std_power,mean_false_alarm_rate,std_false_alarm_rate,mean_alert_rate,std_alert_rate,empirical_fdr,empirical_fdr_se,empirical_fdr_ci95_low,empirical_fdr_ci95_high,fdp_p90,probability_any_alert,nominal_q,fraction_fdp_above_q,minimum_bh_rejections_at_pmin
hedl,bh_marginal,0.5,0.05,0.04,0.39899370909764664,0.0,0.0,0.04,0.39899370909764664,0.01,0.09974842727441166,0.0,0.0,4e-05,0.0003989937090976467,2e-05,0.00019949685454882335,0.01,0.007053278933842965,0.0,0.023824426710332212,0.0,0.01,0.05,0.01,4.0
hedl,bh_marginal,0.5,0.1,1081.745,9.20781703078215,1000.0,0.0,81.745,9.20781703078215,0.07550083049570765,0.007897920053674092,1.0,0.0,0.08174499999999998,0.00920781703078215,0.5408725,0.004603908515391079,0.07550083049570765,0.0005584672827222172,0.0744062346215721,0.07659542636984319,0.08433286749846677,1.0,0.1,0.0,2.0
hedl,bh_marginal,0.5,0.2,1156.41,12.717727903012998,1000.0,0.0,156.41,12.717727903012998,0.13515075399099521,0.009509108003872389,1.0,0.0,0.15641,0.012717727903012998,0.578205,0.006358863951506503,0.13515075399099521,0.0006723954752573441,0.1338328588594908,0.13646864912249962,0.14675767918088736,1.0,0.2,0.0,1.0
hedl,bh_marginal,0.25,0.05,0.08,0.5614052719711357,0.0,0.0,0.08,0.5614052719711357,0.02,0.1403513179927839,0.0,0.0,5.333333333333333e-05,0.00037427018131409054,4e-05,0.0002807026359855679,0.02,0.0099243368701167,0.0005482997345712705,0.03945170026542873,0.0,0.02,0.05,0.02,4.0
hedl,bh_marginal,0.25,0.1,1.64,2.2707225511987614,0.23,0.5464366064093077,1.41,1.886716325381829,0.3651746031746032,0.4463018560071514,0.00046,0.0010928732128186154,0.00094,0.001257810883587886,0.0008200000000000002,0.0011353612755993809,0.3651746031746032,0.03155830688387988,0.30332032168219863,0.4270288846670078,1.0,0.41,0.1,0.41,2.0
hedl,bh_marginal,0.25,0.2,647.2,13.292609500646718,500.0,0.0,147.2,13.29260950064672,0.22711846169456013,0.015802344314437142,1.0,0.0,0.09813333333333332,0.008861739667097811,0.3236,0.006646304750323366,0.22711846169456013,0.0011173944823383187,0.22492836850917702,0.22930855487994323,0.25037481259370314,1.0,0.2,0.955,1.0
hedl,bh_marginal,0.1,0.05,0.19,0.9688100767560794,0.005,0.07071067811865475,0.185,0.9301077908030674,0.039375,0.1935589307507324,2.5e-05,0.00035355339059327376,0.00010277777777777778,0.0005167265504461486,9.499999999999999e-05,0.00048440503837803977,0.039375,0.013686683249306024,0.012549100831360193,0.0662008991686398,0.0,0.04,0.05,0.04,4.0
hedl,bh_marginal,0.1,0.1,1.97,2.301212265187033,0.1,0.3170213124741207,1.87,2.160192621227103,0.48932738095238093,0.4848794398779376,0.0005,0.0015851065623706034,0.0010388888888888889,0.0012001070117928347,0.000985,0.0011506061325935167,0.48932738095238093,0.03428615399956245,0.4221265191132385,0.5565282427915234,1.0,0.51,0.1,0.51,2.0
hedl,bh_marginal,0.1,0.2,4.78,4.862077641808579,0.9,1.4283560498087042,3.88,3.75982465110212,0.7515357836607837,0.3214077698468128,0.0045,0.007141780249043521,0.0021555555555555555,0.002088791472834511,0.00239,0.0024310388209042894,0.7515357836607837,0.022726961358472648,0.7069909393981773,0.7960806279233901,1.0,0.875,0.2,0.875,1.0
hedl,bh_marginal,0.05,0.05,0.23,1.0595817891221024,0.005,0.07071067811865477,0.225,1.0195944607154395,0.049444444444444444,0.21619334404085783,5e-05,0.0007071067811865475,0.00011842105263157893,0.0005366286635344417,0.000115,0.0005297908945610514,0.049444444444444444,0.015287177961868684,0.019481575639181823,0.07940731324970707,0.0,0.05,0.05,0.05,4.0
